user_id,user_name,country,email,signup_date
1,Alice Johnson,USA,alice@email.com,2023-01-10
2,Bruno Silva,Brazil,bruno@email.com,2023-02-15
3,Carla Gomez,Mexico,carla@email.com,2023-03-20
4,David Smith,USA,david@email.com,2023-03-22
5,Elena Rossi,Italy,elena@email.com,2024-04-05
6,François Petit,France,francois@email.com,2023-05-10
7,Gwang-Ho Lee,South Korea,gwang@email.com,2023-06-05
8,Hanna Schmidt,Germany,hanna@email.com,2023-08-12
9,Inés Torres,Spain,ines@email.com,2023-09-15
10,Jack Brown,UK,jack@email.com,2023-11-20
11,Kenji Sato,Japan,kenji@email.com,2024-01-05
12,Li Wei,China,liwei@email.com,2024-01-15
13,Maria Garcia,Mexico,maria@email.com,2024-02-10
14,Neil Patel,India,neil@email.com,2024-03-05
15,Olga Petrova,Russia,olga@email.com,2024-04-12
16,Pedro Alva,Peru,pedro@email.com,2024-05-01
17,Quinn Miller,Canada,quinn@email.com,2024-05-15
18,Rafael Costa,Portugal,rafael@email.com,2024-06-01
19,Sarah Wilson,Australia,sarah@email.com,2024-06-10
20,Taro Yamada,Japan,taro@email.com,2024-06-20
